SiteID,Samp_Date,AirTemperature_C
Met_Station01,2015-10-03 09:00:00.000,4.627
Met_Station01,2015-10-03 09:15:00.000,5.029
Met_Station01,2015-10-03 09:30:00.000,5.176
Met_Station01,2015-10-03 09:45:00.000,5.644
Met_Station01,2015-10-03 10:00:00.000,6.365
Met_Station01,2015-10-03 10:15:00.000,5.155
Met_Station01,2015-10-03 10:30:00.000,5.735
Met_Station01,2015-10-03 10:45:00.000,7.281
Met_Station01,2015-10-03 11:00:00.000,8.49
Met_Station01,2015-10-03 11:15:00.000,9.18
Met_Station01,2015-10-03 11:30:00.000,8.63
Met_Station01,2015-10-03 11:45:00.000,9.7
Met_Station01,2015-10-03 12:00:00.000,10.23
Met_Station01,2015-10-03 12:15:00.000,11.01
Met_Station01,2015-10-03 12:30:00.000,10.62
Met_Station01,2015-10-03 12:45:00.000,10.79
Met_Station01,2015-10-03 13:00:00.000,10.36
Met_Station01,2015-10-03 13:15:00.000,11.08
Met_Station01,2015-10-03 13:30:00.000,10.85
Met_Station01,2015-10-03 13:45:00.000,8.99
Met_Station01,2015-10-03 14:00:00.000,9.04
Met_Station01,2015-10-03 14:15:00.000,8.68
Met_Station01,2015-10-03 14:30:00.000,8.53
Met_Station01,2015-10-03 14:45:00.000,8.79
Met_Station01,2015-10-03 15:00:00.000,8.79
Met_Station01,2015-10-03 15:15:00.000,8.93
Met_Station01,2015-10-03 15:30:00.000,8.42
Met_Station01,2015-10-03 15:45:00.000,8.61
Met_Station01,2015-10-03 16:00:00.000,8.89
Met_Station01,2015-10-03 16:15:00.000,8.79
Met_Station01,2015-10-03 16:30:00.000,8.79
Met_Station01,2015-10-03 16:45:00.000,7.973
Met_Station01,2015-10-03 17:00:00.000,6.708
Met_Station01,2015-10-03 17:15:00.000,5.275
Met_Station01,2015-10-03 17:30:00.000,4.856
Met_Station01,2015-10-03 17:45:00.000,4.848
Met_Station01,2015-10-03 18:00:00.000,4.742
Met_Station01,2015-10-03 18:15:00.000,4.284
Met_Station01,2015-10-03 18:30:00.000,3.664
Met_Station01,2015-10-03 18:45:00.000,3.026
Met_Station01,2015-10-03 19:00:00.000,2.395
Met_Station01,2015-10-03 19:15:00.000,1.787
Met_Station01,2015-10-03 19:30:00.000,1.392
Met_Station01,2015-10-03 19:45:00.000,0.828
Met_Station01,2015-10-03 20:00:00.000,0.385
Met_Station01,2015-10-03 20:15:00.000,-0.158
Met_Station01,2015-10-03 20:30:00.000,-0.361
Met_Station01,2015-10-03 20:45:00.000,-0.736
Met_Station01,2015-10-03 21:00:00.000,-0.013
Met_Station01,2015-10-03 21:15:00.000,0.949
Met_Station01,2015-10-03 21:30:00.000,1.823
Met_Station01,2015-10-03 21:45:00.000,1.973
Met_Station01,2015-10-03 22:00:00.000,2.395
Met_Station01,2015-10-03 22:15:00.000,2.57
Met_Station01,2015-10-03 22:30:00.000,2.466
Met_Station01,2015-10-03 22:45:00.000,2.299
Met_Station01,2015-10-03 23:00:00.000,2.27
Met_Station01,2015-10-03 23:15:00.000,2.376
Met_Station01,2015-10-03 23:30:00.000,2.412
Met_Station01,2015-10-03 23:45:00.000,2.448
Met_Station01,2015-10-04 00:00:00.000,2.516
Met_Station01,2015-10-04 00:15:00.000,2.572
Met_Station01,2015-10-04 00:30:00.000,2.529
Met_Station01,2015-10-04 00:45:00.000,2.468
Met_Station01,2015-10-04 01:00:00.000,2.417
Met_Station01,2015-10-04 01:15:00.000,2.432
Met_Station01,2015-10-04 01:30:00.000,2.409
Met_Station01,2015-10-04 01:45:00.000,2.318
Met_Station01,2015-10-04 02:00:00.000,2.257
Met_Station01,2015-10-04 02:15:00.000,1.888
Met_Station01,2015-10-04 02:30:00.000,1.387
Met_Station01,2015-10-04 02:45:00.000,1.407
Met_Station01,2015-10-04 03:00:00.000,0.812
Met_Station01,2015-10-04 03:15:00.000,0.738
Met_Station01,2015-10-04 03:30:00.000,0.684
Met_Station01,2015-10-04 03:45:00.000,0.598
Met_Station01,2015-10-04 04:00:00.000,0.463
Met_Station01,2015-10-04 04:15:00.000,0.079
Met_Station01,2015-10-04 04:30:00.000,-0.18
Met_Station01,2015-10-04 04:45:00.000,-0.562
Met_Station01,2015-10-04 05:00:00.000,-0.981
Met_Station01,2015-10-04 05:15:00.000,-1.079
Met_Station01,2015-10-04 05:30:00.000,-0.98
Met_Station01,2015-10-04 05:45:00.000,-1.016
Met_Station01,2015-10-04 06:00:00.000,-0.885
Met_Station01,2015-10-04 06:15:00.000,-0.849
Met_Station01,2015-10-04 06:30:00.000,-0.93
Met_Station01,2015-10-04 06:45:00.000,-0.896
Met_Station01,2015-10-04 07:00:00.000,-0.628
Met_Station01,2015-10-04 07:15:00.000,-0.546
Met_Station01,2015-10-04 07:30:00.000,-0.614
Met_Station01,2015-10-04 07:45:00.000,-0.576
Met_Station01,2015-10-04 08:00:00.000,-0.183
Met_Station01,2015-10-04 08:15:00.000,0.178
Met_Station01,2015-10-04 08:30:00.000,0.553
Met_Station01,2015-10-04 08:45:00.000,1.169
Met_Station01,2015-10-04 09:00:00.000,2.113
Met_Station01,2015-10-04 09:15:00.000,2.99
Met_Station01,2015-10-04 09:30:00.000,4.022
Met_Station01,2015-10-04 09:45:00.000,7.068
Met_Station01,2015-10-04 10:00:00.000,7.89
Met_Station01,2015-10-04 10:15:00.000,7.67
Met_Station01,2015-10-04 10:30:00.000,7.424
Met_Station01,2015-10-04 10:45:00.000,8.42
Met_Station01,2015-10-04 11:00:00.000,9.13
Met_Station01,2015-10-04 11:15:00.000,9.54
Met_Station01,2015-10-04 11:30:00.000,10.19
Met_Station01,2015-10-04 11:45:00.000,10.77
Met_Station01,2015-10-04 12:00:00.000,9.71
Met_Station01,2015-10-04 12:15:00.000,10.07
Met_Station01,2015-10-04 12:30:00.000,9.5
Met_Station01,2015-10-04 12:45:00.000,11.49
Met_Station01,2015-10-04 13:00:00.000,12.35
Met_Station01,2015-10-04 13:15:00.000,10.16
Met_Station01,2015-10-04 13:30:00.000,9.33
Met_Station01,2015-10-04 13:45:00.000,8.41
Met_Station01,2015-10-04 14:00:00.000,5.531
Met_Station01,2015-10-04 14:15:00.000,6.657
Met_Station01,2015-10-04 14:30:00.000,7.179
Met_Station01,2015-10-04 14:45:00.000,9.52
Met_Station01,2015-10-04 15:00:00.000,11.86
Met_Station01,2015-10-04 15:15:00.000,12.13
Met_Station01,2015-10-04 15:30:00.000,11.88
Met_Station01,2015-10-04 15:45:00.000,11.57
Met_Station01,2015-10-04 16:00:00.000,10.35
Met_Station01,2015-10-04 16:15:00.000,9.24
Met_Station01,2015-10-04 16:30:00.000,8.89
Met_Station01,2015-10-04 16:45:00.000,7.659
Met_Station01,2015-10-04 17:00:00.000,7.788
Met_Station01,2015-10-04 17:15:00.000,6.233
Met_Station01,2015-10-04 17:30:00.000,5.721
Met_Station01,2015-10-04 17:45:00.000,5.328
Met_Station01,2015-10-04 18:00:00.000,4.732
Met_Station01,2015-10-04 18:15:00.000,4.693
Met_Station01,2015-10-04 18:30:00.000,4.227
Met_Station01,2015-10-04 18:45:00.000,3.619
Met_Station01,2015-10-04 19:00:00.000,3.067
Met_Station01,2015-10-04 19:15:00.000,2.598
Met_Station01,2015-10-04 19:30:00.000,1.964
Met_Station01,2015-10-04 19:45:00.000,1.435
